,BAU,CT,R&D
0,0,0,0
1,0,0,0
2,0.9755747922,0.9755781925,0.9753591517
3,0.9821195371,0.9834215338,0.9825464953
4,0.9719224878,0.9777579025,0.9761241836
5,0.9762994083,0.9802317149,0.9769540665
6,0.9724717477,0.977526,0.973694209
7,0.9744858987,0.9788393656,0.975124049
8,0.9743503251,0.9789798708,0.9750429899
9,0.9759850742,0.9794295787,0.9758349511
10,0.9741301728,0.9803493961,0.9755963465
11,0.9760653313,0.9804263975,0.9765172426
12,0.9757710112,0.9808092896,0.9762165021
13,0.9778338271,0.9811936458,0.9776803376
14,0.9927224222,0.9928311242,0.9942773156
15,0.9792954144,0.9841097756,0.9795538998
16,0.9833185869,0.9880327486,0.9840947439
17,0.9828445868,0.9882024094,0.9838923759
18,0.9846807833,0.9895675384,0.9848863374
19,0.9828777351,0.9891735277,0.9844187744
20,0.9849931807,0.9899351996,0.9857584594
21,0.9856709676,0.9904281617,0.9851782522
22,0.9871511045,0.9910371558,0.9863046027
23,0.986132298,0.9908434787,0.9860242261
24,0.9883287632,0.9918845269,0.9874879713
25,0.9874741147,0.991662109,0.9866196858
26,0.9918120484,0.9939441884,0.9899828189
27,0.9895580925,0.9931164745,0.9898892812
28,0.9907404281,0.9938884489,0.9906148474
29,0.9895279568,0.9948399693,0.9899847757
30,0.9905995639,0.9941914747,0.9905905171
31,0.9896932287,0.9939166697,0.9884269754
32,0.9905688451,0.9952581988,0.9880308574
33,0.9896723684,0.9953394487,0.9891088499
34,0.9881001744,0.9982110322,0.9891387579
35,0.9888531681,0.9979649726,0.9887705774
36,0.9878653939,0.9987530476,0.9888935316
37,0.9900117301,0.9991292155,0.9897926047
38,0.988653889,0.9998341448,0.990138332
39,0.9898253448,1.0000536086,0.9880804666
40,0.9897696641,0.9995822922,0.9884773993
41,0.9897128672,0.9998148232,0.9873493536
42,0.9899745228,1.0004480735,0.9874741763
43,0.990232319,1.0002571621,0.9866425924
44,0.9900262112,1.0015536708,0.9861919465
45,0.9900499348,1.0020337308,0.9869497243
46,0.9909256539,1.0009948272,0.9864814731
47,0.9907324252,1.0028759052,0.9861795485
48,0.9918633829,1.0029824209,0.985336195
49,0.9903459265,1.0024318304,0.9860197799
50,0.9932809983,1.0047488686,0.9896813819
51,0.9922794712,1.0038873432,0.9889372322
52,0.9928256282,1.0049695755,0.9883919175
53,0.9922085721,1.0052671418,0.989354023
54,0.9937177851,1.0044744511,0.9895786985
55,0.9918612901,1.0051846748,0.9887254626
56,0.9928360682,1.0060210802,0.9877816121
57,0.9930650596,1.0067391968,0.9881371499
58,0.9944202253,1.0056627008,0.9888690803
59,0.9930120539,1.0065873859,0.9887983232
60,0.9941620123,1.0064021037,0.9887304578
61,0.9947360919,1.0076601224,0.9883182473
62,0.9982123393,1.0106121385,0.9898163193
63,0.9951843643,1.0097255188,0.9907115613
64,0.996801808,1.01144972,0.9908711047
65,0.996236125,1.0106740003,0.991686421
66,0.9973431138,1.0113825522,0.9919233695
67,0.9963955211,1.011342315,0.9922053969
68,0.9968889667,1.011074643,0.9924995646
69,0.9960199451,1.0116614732,0.9920412406
70,0.9969243907,1.01054057,0.9910560964
71,0.9963139213,1.0120916088,0.9908730837
72,0.9976474895,1.0123750529,0.9914924077
73,0.997208552,1.0134004597,0.991981728
74,1.001961206,1.0155403841,0.9956203597
75,0.9988925253,1.0136501291,0.9925580001
76,1.00027946,1.0140886338,0.9941082834
77,1.000609103,1.0135565074,0.9933315684
78,1.0021177683,1.0142531936,0.9949560923
79,1.0017236161,1.0155783097,0.9940983187
80,1.0019086901,1.0155667206,0.9953391885
81,1.0032388876,1.0153678289,0.9936202243
82,1.0029215508,1.0166154956,0.9941466518
