,BAU,CT,R&D
0,0,0,0
1,0.0087068697,-4.90E-03,0.0074657721
2,0.0091840282,-1.09E-03,0.0113964987
3,0.0049636816,-4.91E-03,0.0068713164
4,0.0159196523,5.28E-03,0.0170819976
5,0.010412852,1.01E-03,0.0130396276
6,0.0139108642,2.98E-03,0.0159129266
7,0.0118422434,2.97E-03,0.0150158552
8,0.0139871699,4.10E-03,0.0155842072
9,0.0117491909,2.49E-03,0.0148250992
10,0.0136706359,2.92E-03,0.0151918705
11,0.0122661951,3.62E-03,0.0145416461
12,0.0128070996,3.94E-03,0.0146480797
13,0.0232341777,1.11E-02,0.0240572397
14,0.0093144439,1.26E-03,0.0081553847
15,0.0123964631,4.98E-03,0.0121191267
16,0.0107104944,2.90E-03,0.0107377319
17,0.0176990551,8.23E-03,0.0164199528
18,0.014611395,5.80E-03,0.0153714174
19,0.0157059896,5.90E-03,0.0166281051
20,0.015815267,6.08E-03,0.0154160441
21,0.0174082575,6.84E-03,0.0153092413
22,0.0161418326,6.35E-03,0.0149957668
23,0.0164609151,6.72E-03,0.0155989702
24,0.0155898225,6.10E-03,0.0151978722
25,0.0192386485,1.01E-02,0.0191880532
26,0.0171092592,8.94E-03,0.0182732316
27,0.0182452106,9.78E-03,0.018139222
28,0.0172850741,9.21E-03,0.017024662
29,0.0193149349,8.96E-03,0.0174842141
30,0.0171775948,6.92E-03,0.0141606817
31,0.0180404522,7.78E-03,0.0154617854
32,0.0176242472,8.67E-03,0.0154289895
33,0.0172785067,8.35E-03,0.0165598298
34,0.0171700824,8.35E-03,0.0167171883
35,0.0168030119,7.93E-03,0.015781249
36,0.0170845703,7.73E-03,0.0156105573
37,0.019286544,1.04E-02,0.0182318805
38,0.0193531548,1.05E-02,0.0155165149
39,0.0196900383,1.16E-02,0.01679789
40,0.0190485483,1.18E-02,0.0145960302
41,0.0196346814,1.27E-02,0.0162025922
42,0.0188829693,1.17E-02,0.015409494
43,0.0190955067,1.16E-02,0.0156949919
44,0.019343023,1.13E-02,0.0167144558
45,0.0199605337,9.52E-03,0.0168004504
46,0.0200013716,8.95E-03,0.0153894275
47,0.0197578045,9.24E-03,0.0156103426
48,0.0177035575,9.77E-03,0.016381086
49,0.0231935369,1.40E-02,0.0220953482
50,0.0214451282,1.30E-02,0.0213753288
51,0.0234037793,1.47E-02,0.020015434
52,0.0212990184,1.26E-02,0.0198405418
