,BAU,CT,R&D
1,1.8439099921,1.8434758571,1.8353873188
2,1.4387967628,1.4425328283,1.4325559614
3,1.7418671518,1.6971352991,1.702046921
4,1.5572516034,1.6014750275,1.5851149131
5,1.6909399591,1.661675614,1.6493891169
6,1.5991796384,1.6077045821,1.6022341034
7,1.6560559072,1.6343606645,1.6322814618
8,1.6193120125,1.6273775542,1.6181960854
9,1.6651927147,1.6426209893,1.6340059058
10,1.6034590202,1.6266928329,1.6168923646
11,1.6394549307,1.6267960837,1.6292930848
12,1.6248701241,1.6335173489,1.6155252363
13,1.5229285637,1.5367719961,1.5002808013
14,1.8489915643,1.7461932287,1.7908450764
15,1.4777691702,1.5279902081,1.469610303
16,1.6289782421,1.6251446689,1.6063174769
17,1.5816628397,1.5904436768,1.5747753671
18,1.6371464169,1.6200025073,1.5852479082
19,1.5783748829,1.5882891108,1.575465888
20,1.6083269586,1.5978218821,1.5858168231
21,1.5919865064,1.5982115736,1.581151472
22,1.6132405765,1.6023979621,1.5803441952
23,1.5824900325,1.5876862902,1.5707645082
24,1.6082709214,1.6031435491,1.5856960453
25,1.5466823614,1.5738717974,1.5303975934
26,1.6080443357,1.6053759345,1.573903656
27,1.5469244808,1.5734988979,1.5467457153
28,1.5814579055,1.587929226,1.5511253845
29,1.5576177388,1.5872649126,1.5433963586
30,1.5927560901,1.5985726141,1.5808774765
31,1.5576838502,1.5710570312,1.5446646426
32,1.5806249943,1.5827073565,1.5453218633
33,1.5825911614,1.5745824181,1.5505868574
34,1.565177467,1.5917304519,1.5557595202
35,1.5806409542,1.5710225552,1.5509199416
36,1.5644009888,1.5756399572,1.5509466826
37,1.5705499214,1.5531922377,1.5365970092
38,1.5494417214,1.5641138862,1.5524209415
39,1.5468112633,1.5588911581,1.5250320784
40,1.5494693663,1.5586301774,1.5392966006
41,1.5492074396,1.5595820759,1.5279524555
42,1.5535069363,1.5637997072,1.5452221426
43,1.5547193824,1.5473298286,1.5350934483
44,1.5530655848,1.556138549,1.5224229899
45,1.5438280066,1.562272745,1.5402706987
46,1.5629059214,1.5463205112,1.5354310132
47,1.5426010733,1.5600181984,1.5489081567
48,1.5690809577,1.5584224081,1.5265030933
49,1.5062829148,1.5177259243,1.4992139963
50,1.5587126373,1.5587057845,1.5316906788
51,1.5152253992,1.5244370885,1.5169680423
52,1.5446488426,1.5437995206,1.500985622
53,1.5185702319,1.5509710855,1.5141551795
54,1.5509688174,1.5399614456,1.5245384564
55,1.5143076733,1.5406213325,1.517411148
56,1.5319480579,1.5332763814,1.5039734754
57,1.5155111911,1.5452048306,1.5101873961
58,1.5629351815,1.5252856927,1.523452256
59,1.5061486352,1.5446723915,1.5239421363
60,1.5275211653,1.5276257297,1.5104998796
61,1.5035247575,1.5038906032,1.4851836063
62,1.5296263508,1.5244539992,1.4893598701
63,1.4882528339,1.5011184252,1.4881214564
64,1.5176121986,1.5187247176,1.4896809668
65,1.4972823905,1.5100948043,1.4954211189
66,1.5337098551,1.5143100373,1.4869090819
67,1.500641849,1.5074164665,1.4849504815
68,1.5178579733,1.5079259907,1.4947204593
69,1.5015498998,1.5200744263,1.4838425602
70,1.5291206794,1.5022062106,1.4866077505
71,1.5158827715,1.5143821341,1.4902229715
72,1.5105354684,1.5097425348,1.4955520503
73,1.4659757439,1.4825433692,1.4369911149
74,1.5235889516,1.5135319463,1.4953988591
75,1.4781019688,1.4838433426,1.4501312082
76,1.5010444182,1.4995398505,1.4689027544
77,1.4850503768,1.4813094178,1.4494915454
78,1.4971650862,1.4874122887,1.4742725595
79,1.4851251884,1.5003064826,1.4573317129
80,1.4827133908,1.5082619555,1.4728160234
