AU Spalte,BAU,8,308
,ET,309,609
,L,610,910
,R,911,1211
,,,
,,1 (BAU),2 (CT)
,,,
,1 (BAU),2 (CT),3 (R&D)
0,,,
1,1563326.68514592,1560622.24319425,1566618.60331475
2,1613502.08934307,1610824.61374465,1617446.9299088
3,1602674.96121069,1598796.49014944,1605968.42083741
4,1621600.42428025,1608907.27454823,1617406.11059601
5,1602807.91453874,1594167.43504408,1604973.96772454
6,1611238.92824789,1599729.2497585,1612079.48606998
7,1603174.86572414,1595051.9078552,1606334.01989973
8,1604620.21612592,1593875.94766625,1606327.51247306
9,1599874.6686702,1591150.09903596,1605528.87374469
10,1605167.39293379,1590568.30200708,1605525.32423923
11,1601387.38209153,1590067.17926256,1602696.3683881
12,1603348.59140612,1589220.39370837,1604739.10877998
13,1703334.81222973,1664622.58415171,1710099.0793307
14,1650118.02679057,1627081.9542037,1657309.0593861
15,1679166.26080571,1648284.56940829,1689382.98230129
16,1670531.3853269,1639915.64291583,1680700.89194764
17,1676201.10613845,1640716.49712563,1681682.92179141
18,1664163.21636534,1631719.8422599,1676108.42346746
19,1671236.92432105,1632746.82001129,1674937.6782501
20,1666106.69856953,1633377.49270151,1672039.50704252
21,1665930.60927283,1633105.43781553,1675772.99520154
22,1661914.82786217,1631257.58449909,1672718.0541695
23,1664585.121593,1632909.93517021,1673123.88096035
24,1658928.9915661,1630879.53420299,1671108.94502792
25,1680262.38713249,1640020.46059917,1688985.43768983
26,1675800.47344327,1633678.99075697,1685388.01390675
27,1683290.17758986,1635509.17817173,1686669.38537758
28,1676898.96338477,1635201.202619,1686521.48931678
29,1680673.65609391,1633943.39041888,1688015.23953094
30,1676347.65025114,1634830.21868357,1684967.98909406
31,1679217.0785222,1635809.49850041,1690000.00466698
32,1677867.45451663,1618729.34511471,1690792.13596865
33,1678405.17686561,1634450.40179729,1689343.34615699
34,1682367.77694506,1626460.70332771,1688838.13321327
35,1679406.75860356,1627867.49796538,1689351.62833639
36,1682728.22818998,1626449.51492331,1691837.46532644
37,1678253.90552348,1626694.93618611,1690585.67306777
38,1669548.12160303,1623968.63346308,1676440.89381215
39,1668092.7258387,1622603.05926269,1684006.07311456
40,1666942.82727702,1624619.32750855,1680161.95870207
41,1667939.68178552,1622418.15615836,1684121.432042
42,1665766.33804973,1621869.33547929,1682000.01094578
43,1665859.10992752,1622607.18130641,1686631.52398603
44,1665352.70547359,1621634.96785025,1687367.4547846
45,1667865.22792182,1617936.9057638,1681623.76336709
46,1665048.98098196,1621975.91975281,1682895.07790578
47,1664557.94002371,1620119.8223489,1684961.48166738
48,1662906.95514123,1617233.21401327,1685969.54121785
49,1672015.08649244,1627472.8166816,1706871.39569964
50,1663777.35626217,1621700.92054988,1686461.73930822
51,1666463.60439237,1620877.00946197,1685140.14010884
52,1663621.35769059,1622279.77326182,1690947.13104038
53,1667628.27554606,1621135.0228325,1687985.06873453
54,1663631.40305316,1622683.73354706,1687385.79389614
55,1666518.55843463,1621603.75809059,1687569.77659578
56,1664585.71249669,1621593.74741297,1689430.30904075
57,1665245.75190747,1620079.19077503,1691451.16081561
58,1662201.41614706,1622277.41780825,1689632.03926768
59,1665272.93347676,1618726.57156919,1690626.49238055
60,1668365.72333895,1620709.27460186,1689823.12097824
61,1684522.21176308,1636833.11961506,1670554.45746912
62,1669281.62404327,1629866.68917295,1680529.33251711
63,1673360.63214771,1630367.81191746,1673252.02324704
64,1668873.30960024,1628471.67180307,1677268.52016843
65,1672222.55165963,1631040.29390834,1675161.29709404
66,1668615.08469199,1628367.44298312,1676365.17102902
67,1670904.83645279,1628292.06846926,1675562.39121096
68,1671661.78406713,1629218.35058104,1675330.49018761
69,1673677.94742398,1628321.51163873,1674570.30443505
70,1670526.65809745,1631260.52881605,1676158.11654389
71,1673520.17614137,1628184.30646897,1679873.26559136
72,1670329.29626827,1627054.8664878,1676574.59185112
73,1702362.7756758,1639790.21501385,1707365.36854274
74,1688421.58514875,1631393.0230787,1692640.83672875
75,1692147.23285243,1636110.40769249,1699416.25106645
76,1690707.20058379,1636380.69598829,1697330.32502483
77,1688603.58348225,1634301.05053629,1699536.93425207
78,1685788.51834976,1634725.98986362,1695588.70101276
79,1685397.34011347,1633508.80923739,1696737.55761311
80,1689334.53133467,1631057.37094664,1696723.35959127
81,1685066.43405255,1634105.32785102,1698725.28067037
82,1687054.23403275,1632086.11528821,1698735.3376025
83,1685539.15699672,1631784.61723274,1695899.28274046
84,1684263.39595116,1632871.07018651,1696050.72830673
85,1703926.8977173,1656053.84683687,1714337.1888492
86,1695897.69851069,1644019.43187771,1700606.51856384
87,1700988.92461933,1648301.05758322,1709603.33173488
88,1699095.07832428,1644836.18539903,1706119.49212649
89,1699537.07427707,1644144.27091629,1706080.44756644
90,1697826.99902656,1644916.27082,1706225.97729027
91,1698557.35597529,1643508.29845557,1706166.22728171
92,1701529.60148672,1641461.99817683,1708157.49984442
93,1697569.36502199,1638985.82762371,1708084.7349825
94,1698752.35418975,1637060.83320324,1708069.35379218
95,1701527.82877567,1638805.63542651,1705006.13058073
96,1698998.17012073,1637778.65767512,1707397.31409187
97,1717815.4978168,1642871.14826805,1724181.15065654
98,1704920.7977074,1639127.7437006,1713334.45355692
99,1708275.9488036,1634089.28265954,1716394.12726291
100,1708354.53899307,1637124.43044931,1714658.41909327
101,1706245.01285474,1638820.94587464,1716045.0925594
102,1706416.374922,1634656.50398365,1712025.27762666
103,1702453.77484256,1638521.21440936,1714573.23096224
104,1702301.91259674,1633076.58350945,1711010.11906527
105,1706418.14763305,1633998.15471412,1710859.26508325
106,1702885.1345291,1633575.93966381,1708865.62618357
107,1692308.1251653,1631921.23353914,1710714.32694366
108,1705008.25145207,1629467.43979483,1711254.44335772
109,1713013.2236078,1643843.95058761,1715282.54046988
110,1701106.51445169,1636996.05823038,1701750.64249024
111,1706108.51410461,1639347.38974492,1709011.1559074
112,1703181.76817656,1637799.85675714,1706446.04662875
113,1698635.94616476,1636112.17428265,1705016.18751287
114,1702126.41420373,1634964.47953639,1704858.23451993
115,1703469.53826882,1635603.98517746,1702543.95696042
116,1702014.14250448,1636171.649485,1704443.53396542
117,1701825.64423049,1637176.2504276,1697850.32757463
118,1701507.14714686,1634433.9136224,1700944.90475097
119,1704666.70912492,1637673.83999177,1700807.65720655
120,1703788.03535246,1636609.17498344,1701857.71923828
121,1718019.35958649,1658465.52414085,1722004.12064146
122,1705935.37932631,1654425.82569806,1706928.77937123
123,1706344.8755767,1660464.61975802,1712673.062373
124,1706624.37301744,1654227.37873577,1707416.24478766
125,1705166.61363837,1660436.35431533,1714535.36957069
126,1704403.16608355,1657358.36537807,1710104.99517314
127,1703681.08178634,1656970.89326775,1714658.41909329
128,1704250.12203037,1655002.91181983,1712202.75289964
129,1703140.40491894,1661432.71117046,1714698.64682182
130,1699414.75721527,1654793.86531653,1711557.92607452
131,1700257.97676692,1656042.25570241,1713737.32242657
132,1700794.51730854,1654548.30928308,1711062.77006292
133,1703280.44909117,1666601.16514065,1718245.19435998
134,1700665.10940259,1657270.62473303,1707822.07157852
135,1698362.9486645,1660847.96982463,1709938.76000079
136,1697925.08903748,1658593.80076938,1706367.95750866
137,1697790.36299838,1659924.63202979,1707984.16566116
138,1697719.45455676,1657254.13655812,1709732.88868416
139,1698718.67268,1659756.80596378,1711685.11668681
140,1691359.55824672,1654329.25210217,1710852.16607234
141,1696971.9614013,1656919.66215285,1708430.22018056
142,1694616.61933202,1655122.45108791,1707048.87097261
143,1697567.00140726,1655214.31377667,1709536.48271541
144,1693663.49169583,1656356.70875243,1703607.62542975
145,1722991.22315173,1655882.67372383,1723311.29306461
146,1714687.84463749,1644930.40354136,1714986.74834828
147,1717089.86809753,1645657.06096408,1718798.91721164
148,1713722.30802404,1646293.03342481,1717755.95419083
149,1716484.782729,1644016.48756076,1717250.7412471
150,1716909.05157138,1643634.31522092,1712957.61439399
151,1713065.81403534,1642242.24216801,1718399.59784746
152,1714639.39053572,1642037.90657182,1715355.30533181
153,1713889.53376554,1643276.28628008,1716547.93916615
154,1712454.81963,1640555.1485569,1715390.8003864
155,1713530.85523165,1640724.1523497,1713698.27786652
156,1714616.93619587,1638638.39822388,1714438.3497548
157,1730116.93063129,1653793.97528106,1718507.26617974
158,1718938.80571288,1644937.46990203,1714767.86217828
159,1718971.3054153,1648319.90121167,1717582.62000756
160,1717948.45114486,1644683.66978113,1713453.95357406
161,1720599.24505424,1645255.45613239,1714551.93392949
162,1720652.42638547,1643573.07342841,1711515.332009
163,1723425.53735666,1645381.47289776,1714809.2730753
164,1717989.22349878,1646682.27212531,1715071.34489505
165,1720658.92632596,1644717.82385772,1715488.41178653
166,1719890.75154169,1643892.23738556,1715330.4587936
